İlçe,Mahalle,Oda Sayısı,Salon Sayısı,Banyo Sayısı,Brüt M2,Kat Sayısı,Bulunduğu Kat,Kat Index,Bina Yaşı,Eşya Durumu,Kullanım Durumu,Doğu,Batı,Kuzey,Güney,Kira
Odunpazarı,71 Evler Mah.,2,0,1,65,3,1,0.3333333333333333,2,0,0,1,0,0,1,9500
Odunpazarı,Kurtuluş Mah.,3,1,1,122,4,2,0.5,35,0,0,0,1,1,1,15000
Odunpazarı,Sümer Mah.,3,1,2,160,3,3,1.0,10,0,0,1,1,0,1,25000
Odunpazarı,Emek Mah.,3,1,1,120,3,3,1.0,12,0,0,0,0,0,0,15000
Tepebaşı,Eskibağlar Mah.,2,1,1,95,4,4,1.0,10,1,0,0,0,0,0,16000
Tepebaşı,Yenibağlar Mah.,1,1,1,60,3,3,1.0,14,0,0,0,0,1,0,13500
Odunpazarı,Büyükdere Mah.,1,1,1,60,3,1,0.3333333333333333,10,0,0,0,1,0,0,10000
Tepebaşı,Eskibağlar Mah.,3,1,1,110,3,3,1.0,15,0,0,0,0,0,0,17000
Odunpazarı,Osmangazi Mah.,2,1,1,106,5,4,0.8,26,1,1,1,1,0,1,17500
Tepebaşı,Güllük Mah.,1,1,1,65,3,3,1.0,12,0,0,0,0,0,1,10000
Tepebaşı,Mustafa Kemal Paşa Mah.,3,1,1,145,7,2,0.2857142857142857,9,0,0,1,1,0,0,18000
Tepebaşı,Batıkent Mah.,3,1,1,125,7,7,1.0,20,0,0,0,1,1,1,17000
Tepebaşı,Bahçelievler Mah.,1,1,1,60,4,1,0.25,5,1,1,0,0,0,1,19500
Odunpazarı,Emek Mah.,2,1,1,120,3,0,0.0,10,0,0,0,0,0,0,14000
Tepebaşı,Eskibağlar Mah.,2,0,1,68,3,1,0.3333333333333333,10,0,0,0,0,0,1,10000
Tepebaşı,Yenibağlar Mah.,1,1,1,55,4,4,1.0,15,1,0,0,0,1,0,11000
Tepebaşı,Bahçelievler Mah.,1,1,1,60,4,1,0.25,5,1,0,0,1,0,0,12000
Odunpazarı,Kırmızıtoprak Mah.,1,1,1,65,7,5,0.7142857142857143,10,0,1,0,0,0,0,18000
Odunpazarı,Gültepe Mah.,4,1,2,180,3,3,1.0,8,1,0,1,1,0,0,20000
Tepebaşı,Sütlüce Mah.,2,0,1,70,3,1,0.3333333333333333,4,0,0,1,1,0,0,11000
Odunpazarı,Emek Mah.,3,1,1,135,3,0,0.0,7,0,0,0,0,1,1,15000
Tepebaşı,Zafer Mah.,2,0,1,75,7,5,0.7142857142857143,8,0,0,0,0,0,1,10000
Tepebaşı,Yeşiltepe Mah.,2,1,1,80,2,1,0.5,2,0,0,1,1,0,0,14000
Odunpazarı,Gökmeydan Mah.,3,1,1,130,5,2,0.4,17,0,0,1,1,0,0,17000
Tepebaşı,Hayriye Mah.,2,1,1,110,7,7,1.0,25,0,1,0,0,1,1,18000
Odunpazarı,Gökmeydan Mah.,2,1,1,115,7,7,1.0,30,0,0,0,1,1,1,12000
Odunpazarı,Emek Mah.,2,1,1,100,4,4,1.0,8,0,0,0,1,1,1,12000
Odunpazarı,Kırmızıtoprak Mah.,1,0,1,50,7,5,0.7142857142857143,13,1,0,1,1,0,0,13000
Tepebaşı,Bahçelievler Mah.,2,0,1,50,4,4,1.0,16,0,0,0,1,0,0,7000
Tepebaşı,Şirintepe Mah.,1,1,1,55,3,1,0.3333333333333333,14,0,0,0,0,0,0,8000
Tepebaşı,Uluönder Mah.,1,1,1,40,4,4,1.0,10,1,0,0,1,0,0,8000
Tepebaşı,Uluönder Mah.,2,1,1,85,4,4,1.0,40,0,0,1,0,0,0,10000
Tepebaşı,Şirintepe Mah.,1,1,1,50,3,2,0.6666666666666666,7,1,0,1,1,0,0,11000
Tepebaşı,Bahçelievler Mah.,1,0,1,50,4,3,0.75,13,1,0,0,1,0,0,9000
Odunpazarı,Vişnelik Mah.,3,1,1,125,6,2,0.3333333333333333,35,0,1,0,0,0,1,20000
Odunpazarı,Akarbaşı Mah.,3,1,1,120,3,3,1.0,30,0,0,1,0,1,1,15000
Tepebaşı,Esentepe Mah.,2,1,1,90,2,0,0.0,40,0,0,0,0,1,1,10000
Tepebaşı,Kumlubel Mah.,2,1,1,100,4,1,0.25,8,0,0,1,1,0,0,15000
Tepebaşı,Tunalı Mah.,3,0,1,120,4,4,1.0,19,0,0,0,0,1,1,13500
Tepebaşı,Sütlüce Mah.,1,1,1,55,3,2,0.6666666666666666,5,0,0,0,1,1,0,7750
Tepebaşı,Batıkent Mah.,4,1,1,170,2,1,0.5,8,1,0,0,0,0,0,35000
Tepebaşı,Sütlüce Mah.,2,0,1,75,4,3,0.75,8,0,0,1,1,0,0,10000
Odunpazarı,Kurtuluş Mah.,3,1,1,140,7,2,0.2857142857142857,25,0,0,0,0,1,1,16000
Odunpazarı,Kurtuluş Mah.,4,1,1,155,7,2,0.2857142857142857,32,0,0,0,0,0,0,22000
Tepebaşı,Zincirlikuyu Mah.,3,1,1,145,2,0,0.0,20,0,0,1,1,1,1,13000
Odunpazarı,Sultandere 75. Yıl Mah.,3,1,1,120,3,1,0.3333333333333333,17,0,0,0,0,0,0,12000
Odunpazarı,Arifiye Mah.,3,1,1,145,7,1,0.14285714285714285,26,0,0,1,0,0,0,16000
Tepebaşı,Yenibağlar Mah.,1,1,1,70,4,4,1.0,11,0,0,0,1,0,0,11000
Odunpazarı,Gültepe Mah.,5,1,2,240,3,3,1.0,7,0,1,1,1,0,0,22000
Odunpazarı,Emek Mah.,3,1,1,120,3,1,0.3333333333333333,8,0,0,1,0,0,0,12500
Tepebaşı,Batıkent Mah.,3,1,2,160,4,4,1.0,11,0,0,1,0,0,1,30000
Odunpazarı,Büyükdere Mah.,2,0,1,65,4,1,0.25,4,1,1,0,1,0,0,14000
Odunpazarı,Göztepe Mah.,2,1,1,90,3,1,0.3333333333333333,1,0,0,0,0,0,0,13500
Odunpazarı,Emek Mah.,3,1,1,120,4,4,1.0,11,0,0,1,1,0,0,15000
Tepebaşı,Güllük Mah.,2,1,1,90,4,3,0.75,5,0,0,1,1,0,0,15000
Odunpazarı,71 Evler Mah.,3,1,1,160,3,4,1.3333333333333333,1,0,0,1,1,1,1,18500
Odunpazarı,Kırmızıtoprak Mah.,2,1,1,110,4,2,0.5,5,1,0,1,0,0,1,25000
Tepebaşı,Şirintepe Mah.,1,1,1,50,4,1,0.25,14,0,0,0,0,0,1,9000
Tepebaşı,Eskibağlar Mah.,1,1,1,65,4,1,0.25,8,1,1,0,0,0,0,12500
Odunpazarı,Büyükdere Mah.,1,1,1,65,3,2,0.6666666666666666,12,0,0,0,0,0,1,10000
Odunpazarı,Emek Mah.,3,1,1,145,3,2,0.6666666666666666,12,0,0,1,1,0,0,15000
Odunpazarı,Emek Mah.,3,1,1,118,3,1,0.3333333333333333,12,0,0,1,1,0,0,15000
Odunpazarı,İstiklal Mah.,2,0,1,55,3,2,0.6666666666666666,10,0,0,0,0,0,1,10000
